date,case_type,count
"Wednesday, 11 August, 2021",Active,233361
"Wednesday, 11 August, 2021",Recovered,1075813
"Wednesday, 11 August, 2021",Deaths,11373
"Thursday, 12 August, 2021",Active,237024
"Thursday, 12 August, 2021",Recovered,1093500
"Thursday, 12 August, 2021",Deaths,11691
"Friday, 13 August, 2021",Active,241190
"Friday, 13 August, 2021",Recovered,1110525
"Friday, 13 August, 2021",Deaths,11968
"Saturday, 14 August, 2021",Active,243945
"Saturday, 14 August, 2021",Recovered,1128180
"Saturday, 14 August, 2021",Deaths,12228
"Sunday, 15 August, 2021",Active,247264
"Sunday, 15 August, 2021",Recovered,1145125
"Sunday, 15 August, 2021",Deaths,12510
"Monday, 16 August, 2021",Active,249280
"Monday, 16 August, 2021",Recovered,1162575
"Monday, 16 August, 2021",Deaths,12784
"Tuesday, 17 August, 2021",Active,252151
"Tuesday, 17 August, 2021",Recovered,1179042
"Tuesday, 17 August, 2021",Deaths,13077
"Wednesday, 18 August, 2021",Active,254488
"Wednesday, 18 August, 2021",Recovered,1198722
"Wednesday, 18 August, 2021",Deaths,13302
"Thursday, 19 August, 2021",Active,255538
"Thursday, 19 August, 2021",Recovered,1220442
"Thursday, 19 August, 2021",Deaths,13480
"Friday, 20 August, 2021",Active,257421
"Friday, 20 August, 2021",Recovered,1241890
"Friday, 20 August, 2021",Deaths,13713
"Saturday, 21 August, 2021",Active,260884
"Saturday, 21 August, 2021",Recovered,1260466
"Saturday, 21 August, 2021",Deaths,13936
"Sunday, 22 August, 2021",Active,262259
"Sunday, 22 August, 2021",Recovered,1278666
"Sunday, 22 August, 2021",Deaths,14168
"Monday, 23 August, 2021",Active,260704
"Monday, 23 August, 2021",Recovered,1297719
"Monday, 23 August, 2021",Deaths,14342
"Tuesday, 24 August, 2021",Active,262717
"Tuesday, 24 August, 2021",Recovered,1316332
"Tuesday, 24 August, 2021",Deaths,14553
"Wednesday, 25 August, 2021",Active,264296
"Wednesday, 25 August, 2021",Recovered,1337130
"Wednesday, 25 August, 2021",Deaths,14818
"Thursday, 26 August, 2021",Active,265845
"Thursday, 26 August, 2021",Recovered,1359787
"Thursday, 26 August, 2021",Deaths,15211
"Friday, 27 August, 2021",Active,265699
