date,state,deaths_new
"Sunday, 19 April, 2020",Pahang,0
"Sunday, 19 April, 2020",Perak,0
"Sunday, 19 April, 2020",Perlis,0
"Sunday, 19 April, 2020",Pulau Pinang,0
"Sunday, 19 April, 2020",Sabah,0
"Sunday, 19 April, 2020",Sarawak,0
"Sunday, 19 April, 2020",Selangor,0
"Sunday, 19 April, 2020",Terengganu,0
"Sunday, 19 April, 2020",W.P. Kuala Lumpur,0
"Sunday, 19 April, 2020",W.P. Labuan,0
"Sunday, 19 April, 2020",W.P. Putrajaya,0
"Monday, 20 April, 2020",Johor,0
"Monday, 20 April, 2020",Kedah,0
"Monday, 20 April, 2020",Kelantan,0
"Monday, 20 April, 2020",Melaka,0
"Monday, 20 April, 2020",Negeri Sembilan,0
"Monday, 20 April, 2020",Pahang,0
"Monday, 20 April, 2020",Perak,0
"Monday, 20 April, 2020",Perlis,0
"Monday, 20 April, 2020",Pulau Pinang,0
"Monday, 20 April, 2020",Sabah,0
"Monday, 20 April, 2020",Sarawak,0
"Monday, 20 April, 2020",Selangor,1
"Monday, 20 April, 2020",Terengganu,0
"Monday, 20 April, 2020",W.P. Kuala Lumpur,0
"Monday, 20 April, 2020",W.P. Labuan,0
"Monday, 20 April, 2020",W.P. Putrajaya,0
"Tuesday, 21 April, 2020",Johor,0
"Tuesday, 21 April, 2020",Kedah,0
"Tuesday, 21 April, 2020",Kelantan,0
"Tuesday, 21 April, 2020",Melaka,0
"Tuesday, 21 April, 2020",Negeri Sembilan,0
"Tuesday, 21 April, 2020",Pahang,0
"Tuesday, 21 April, 2020",Perak,0
"Tuesday, 21 April, 2020",Perlis,0
"Tuesday, 21 April, 2020",Pulau Pinang,0
"Tuesday, 21 April, 2020",Sabah,0
"Tuesday, 21 April, 2020",Sarawak,1
"Tuesday, 21 April, 2020",Selangor,0
"Tuesday, 21 April, 2020",Terengganu,0
"Tuesday, 21 April, 2020",W.P. Kuala Lumpur,1
"Tuesday, 21 April, 2020",W.P. Labuan,0
"Tuesday, 21 April, 2020",W.P. Putrajaya,0
"Wednesday, 22 April, 2020",Johor,0
"Wednesday, 22 April, 2020",Kedah,0
"Wednesday, 22 April, 2020",Kelantan,0
"Wednesday, 22 April, 2020",Melaka,0
"Wednesday, 22 April, 2020",Negeri Sembilan,0
"Wednesday, 22 April, 2020",Pahang,1
"Wednesday, 22 April, 2020",Perak,0
"Wednesday, 22 April, 2020",Perlis,0
